title_job,company name,location,skills,
,,,,
Senior Data Analyst (Tableau Developer),Fawry for Banking Technology and Electronic Payments S.A.E -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Analyst · Computer Science · Data Analysis · Data Analyst · Data · Business Intelligence · business,
,,,,
Data Analyst,Qparts -,"Nasr City, Cairo, Egypt ",InternshipEntry Level · IT/Software Development · Analyst/Research · Microsoft Excel · Data Analysis · Data Cleaning,
,,,,
Data Management and Governance Expert,Premier Services and Recruitment -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyzing · Data · Computer Science · Data Analysis · Data Management · Information technology,
,,,,
Data Analyst,ComeX Engineering Company -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Analyst/Research · Data Analysis · Analysis · analytical · English · Oracle · Business Administration · Microsoft Excel · SQL,
,,,,
Data Analyst,ITCan -,"Rehab City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Analyst/Research · BI · Analysis · analytical · Computer Science · Data Analysis · Development · Engineering · Information Technology (IT) · Power BI,
,,,,
Data Analyst,NOK for Human Capital Solutions -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · English · excel · Microsoft Excel,
,,,,
Senior Business Data Analyst,Sky Distribution -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Business Development · Analysis · analytical · Business Analysis · BI · Data · Big Data Analytics · Power BI · Python · SQL,
,,,,
Data Entry/ Admin Specialist,Alouf Travel -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Administration · Writing/Editorial · Administration · MS Office · Communication skills · Data Entry · Communication · Data Analysis · excel · English,
,,,,
Data Scientist,3Sixty -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Programming · Machine Learning · Data Science · Data · Computer Science · Business Intelligence · Analytics · Analysis · Algorithms,
,,,,
Senior Data Quality Engineer,SSC Egypt -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 6 - 8 Yrs of Exp · IT/Software Development · Computer Science · Data · Analysis · Data Administration · data quality · Database · MS Office,
,,,,
Repair Order Specialist (Data Analyst),OPPO Egypt  -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · males_only · Customer Service/Support · Marketing/PR/Advertising · Analyst/Research · Microsoft PowerPoint · Microsoft Outlook · Microsoft Word · Customer Service · After Sales · Electronics · Analysis,
,,,,
Data Analyst,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · excel · Python · SQL · Tableau,
,,,,
Data Analyst,CRIF EGYPT -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Other · Analyst/Research · analytical · Computer Science · Data Analysis · Python · SAS · R · PySpark · French,
,,,,
Export Data Analyst,Evyap Egypt -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · Sales/Retail · excel · Analyst · Business Data · Data Analyst · Analysis,
,,,,
Business Analysis lead,TurnDigital -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Business Analysis · Business Development · Information Technology (IT) · Computer Science · business · analytical · senior · Business Analytics · business analyst,
